,galaxy,field,sub_field_index,ra_1,ra_2,dec_1,dec_2
188,lmc,LMC123,5,4:59:19.97,5:00:20.24,-66:41:50.0,-66:42:07.4
189,lmc,LMC123,6,4:59:18.73,5:00:20.81,-66:52:35.9,-66:49:06.7
190,lmc,LMC123,7,4:59:18.06,5:00:20.56,-66:59:22.7,-67:00:49.9
191,lmc,LMC123,8,4:59:18.36,5:00:19.92,-67:07:31.7,-67:05:50.0
192,lmc,LMC124,1,5:02:04.47,5:03:08.42,-67:42:52.4,-67:42:29.1
193,lmc,LMC124,2,5:02:03.79,5:03:07.80,-67:36:12.9,-67:35:01.6
194,lmc,LMC124,3,5:02:04.33,5:03:06.06,-67:27:15.9,-67:24:20.9
195,lmc,LMC124,4,5:02:02.55,5:03:06.47,-67:15:45.7,-67:15:45.6
196,lmc,LMC124,5,4:58:57.43,5:00:00.26,-67:17:37.8,-67:15:20.5
197,lmc,LMC124,6,4:58:55.66,4:59:59.29,-67:28:20.1,-67:25:19.8
198,lmc,LMC124,7,4:58:57.42,4:59:59.60,-67:35:14.9,-67:35:43.8
199,lmc,LMC124,8,4:58:55.77,5:00:00.32,-67:43:03.8,-67:43:26.0
200,lmc,LMC125,1,5:01:40.87,5:02:48.05,-68:18:23.3,-68:21:20.9
201,lmc,LMC125,2,5:01:42.49,5:02:46.74,-68:08:59.9,-68:08:33.9
202,lmc,LMC125,3,5:01:41.13,5:02:46.33,-68:00:16.2,-68:03:44.4
203,lmc,LMC125,4,5:01:41.00,5:02:44.37,-67:50:53.8,-67:50:17.6
204,lmc,LMC125,5,4:58:29.92,4:59:34.37,-67:52:14.4,-67:52:33.0
205,lmc,LMC125,6,4:58:30.69,4:59:35.22,-68:00:52.9,-67:59:45.2
206,lmc,LMC125,7,4:58:29.07,4:59:34.05,-68:11:26.8,-68:08:47.0
207,lmc,LMC125,8,4:58:29.74,4:59:35.63,-68:19:45.4,-68:20:56.1
208,lmc,LMC126,1,5:01:11.44,5:02:19.33,-68:53:44.6,-68:54:38.3
209,lmc,LMC126,2,5:01:10.59,5:02:17.38,-68:44:40.2,-68:46:16.7
210,lmc,LMC126,3,5:01:09.31,5:02:16.57,-68:36:31.1,-68:36:13.7
211,lmc,LMC126,4,5:01:10.68,5:02:15.93,-68:28:33.5,-68:27:14.3
212,lmc,LMC126,5,4:57:55.97,4:59:00.87,-68:28:39.7,-68:26:13.5
213,lmc,LMC126,6,4:57:53.38,4:59:00.42,-68:38:04.6,-68:35:22.7
214,lmc,LMC126,7,4:57:52.65,4:58:59.81,-68:44:05.8,-68:44:31.2
215,lmc,LMC126,8,4:57:52.13,4:59:01.18,-68:56:24.5,-68:54:05.9
216,lmc,LMC127,1,5:00:44.97,5:01:54.13,-69:28:27.3,-69:29:38.5
217,lmc,LMC127,2,5:00:43.33,5:01:52.86,-69:20:36.9,-69:21:58.8
218,lmc,LMC127,3,5:00:43.00,5:01:51.05,-69:11:06.5,-69:11:06.0
219,lmc,LMC127,4,5:00:43.26,5:01:48.12,-69:03:17.4,-69:01:20.9
220,lmc,LMC127,5,4:57:22.85,4:58:31.51,-69:01:05.4,-69:02:17.8
221,lmc,LMC127,6,4:57:20.97,4:58:29.44,-69:10:28.7,-69:13:13.0
222,lmc,LMC127,7,4:57:17.24,4:58:30.28,-69:19:43.4,-69:20:36.4
223,lmc,LMC127,8,4:57:20.10,4:58:29.18,-69:32:39.1,-69:29:32.2
224,lmc,LMC128,1,5:00:14.59,5:01:27.11,-70:04:05.1,-70:04:48.7
225,lmc,LMC128,2,5:00:16.07,5:01:26.32,-69:58:32.8,-69:59:15.4
226,lmc,LMC128,3,5:00:14.61,5:01:22.98,-69:46:36.8,-69:45:47.5
227,lmc,LMC128,4,5:00:13.93,5:01:21.95,-69:39:17.8,-69:37:15.1
228,lmc,LMC128,5,4:56:46.09,4:57:56.36,-69:37:49.9,-69:40:26.3
229,lmc,LMC128,6,4:56:46.81,4:57:56.61,-69:50:18.0,-69:47:54.3
230,lmc,LMC128,7,4:56:45.70,4:57:56.42,-69:55:49.1,-69:57:43.3
231,lmc,LMC128,8,4:56:45.50,4:57:56.45,-70:08:06.2,-70:06:56.4
232,lmc,LMC129,1,4:59:41.48,5:00:54.04,-70:39:44.6,-70:42:05.5
233,lmc,LMC129,2,4:59:40.71,5:00:51.45,-70:31:37.0,-70:31:31.8
